Row.names,Horodateur,Sexe,Age,Race,Nombre,Logement,Zone,Ext,Obs,Timide,Calme,Effrayé,Intelligent,Vigilant,Perséverant,Affectueux,Amical,Solitaire,Brutal,Dominant,Agressif,Impulsif,Prévisible,Distrait,Abondance,PredOiseau,PredMamm,Plus
1,2021-02-09 16:36:39 UTC,F,Moinsde1,SBI,3,ASB,U,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NSP,4,4,
10,2021-02-12 18:25:58 UTC,F,Moinsde1,SBI,1,AAB,U,0,2,1,1,3,4,4,5,5,5,1,2,2,3,4,4,3,NSP,0,0,
100,2021-03-06 22:04:33 UTC,F,2a10,EUR,4,ML,U,0,2,4,4,3,5,5,4,5,4,2,1,1,1,2,4,2,NSP,0,0,"Elle ne chasse pas car elle ne sort pas, si elle sortait, je sais qu'elle chasserait car elle a vécu seule dehors pendant au moins un an"
1000,2021-02-18 16:10:11 UTC,F,Moinsde1,EUR,1,ML,R,2,2,3,2,2,4,3,5,4,4,3,4,3,3,3,4,4,3,0,0,Elle vient quand je l'appelle
1001,2021-02-18 18:00:51 UTC,F,1a2,SBI,2,MI,R,1,2,1,4,1,5,3,4,4,2,1,2,4,1,4,3,3,3,0,0,
1002,2021-02-18 18:55:19 UTC,F,Plusde10,SBI,2,MI,R,1,3,4,4,4,4,4,4,4,4,1,1,1,1,1,4,1,3,0,0,
1003,2021-02-18 18:57:15 UTC,M,Moinsde1,NR,2,MI,R,3,2,2,2,1,4,4,4,4,4,3,2,4,2,4,4,4,3,0,4,
1004,2021-02-18 20:10:03 UTC,F,2a10,MCO,Plusde5,MI,R,0,3,4,4,2,5,2,3,5,2,2,2,1,2,1,1,1,3,0,0,Mes chats ont accès à un enclos extérieur
1005,2021-02-18 20:22:17 UTC,M,2a10,MCO,1,MI,R,0,2,2,4,1,4,4,4,4,4,2,1,1,1,1,3,1,3,0,0,Il n’a accès à l’extérieur qu’en laisse aux beaux jours
1006,2021-02-18 20:39:21 UTC,M,Moinsde1,BEN,2,MI,R,0,3,3,5,1,5,5,5,5,4,3,1,1,1,1,3,1,3,0,0,
1007,2021-02-18 20:44:42 UTC,F,Moinsde1,MCO,Plusde5,MI,R,0,2,2,5,1,4,3,4,5,5,3,1,1,1,1,3,3,3,0,0,
1008,2021-02-18 21:08:34 UTC,F,2a10,BEN,3,MI,R,1,2,5,4,5,5,5,5,4,1,5,1,1,3,1,4,4,3,0,0,
1009,2021-02-18 21:19:20 UTC,M,2a10,MCO,2,ML,PU,0,2,4,4,4,5,5,5,5,4,2,1,1,1,1,4,1,3,0,0,Ne sort que en chatterie et ne cherche pas à chasser les oiseaux qui rentrent à l’intérieur
101,2021-03-06 22:38:11 UTC,F,2a10,EUR,1,ASB,R,0,2,1,3,1,4,4,4,4,4,4,3,2,1,1,1,3,NSP,0,0,
1010,2021-02-18 23:05:08 UTC,M,2a10,SBI,2,ML,R,2,2,4,4,4,5,4,5,5,5,2,1,3,5,4,5,4,3,0,1,Pot de colle
1011,2021-02-19 00:19:57 UTC,M,Plusde10,NSP,2,MI,R,2,2,4,5,3,5,5,4,5,5,5,1,3,3,1,5,5,3,0,0,
1012,2021-02-19 05:00:37 UTC,F,2a10,MCO,Plusde5,MI,PU,0,2,1,4,1,4,5,5,4,4,5,3,5,4,5,5,3,3,0,0,
1013,2021-02-19 06:44:18 UTC,F,2a10,BEN,1,MI,R,3,2,4,2,1,5,5,5,5,2,1,4,5,4,3,4,4,3,0,4,
1014,2021-02-19 13:59:22 UTC,F,2a10,PER,2,AAB,U,0,1,2,4,2,4,4,4,3,3,3,1,1,1,3,4,3,3,0,0,
1015,2021-02-19 14:01:01 UTC,M,2a10,PER,2,AAB,U,0,1,4,3,4,4,4,2,4,1,2,1,1,1,1,3,4,3,0,0,
1016,2021-02-19 15:01:58 UTC,M,1a2,BEN,1,MI,PU,1,2,2,1,3,5,5,5,5,4,5,1,3,3,5,2,5,3,0,0,
1017,2021-02-19 17:57:12 UTC,M,Moinsde1,BEN,1,AAB,PU,0,2,1,2,1,4,4,4,4,4,1,3,3,4,4,4,4,3,0,1,Il adore l’eau et ramène ses jouets
1018,2021-02-20 08:36:40 UTC,M,Plusde10,ORI,2,MI,R,0,2,3,4,2,4,4,4,4,3,4,1,1,1,1,3,3,3,0,0,
1019,2021-03-06 14:50:29 UTC,M,Moinsde1,BRI,3,MI,R,0,3,1,1,1,5,3,2,2,3,2,4,3,1,3,5,3,3,0,0,
102,2021-03-06 23:45:08 UTC,F,2a10,NR,1,ASB,U,0,2,1,2,3,4,3,4,4,4,1,1,1,3,1,1,1,NSP,0,0,Très pot de colle
1020,2021-03-06 14:55:33 UTC,M,Plusde10,BRI,2,ML,PU,2,2,2,5,2,5,2,3,5,4,1,1,3,2,1,4,2,3,0,1,
1021,2021-03-06 15:05:51 UTC,M,2a10,BRI,3,MI,R,0,2,2,5,1,5,5,5,5,5,1,1,1,1,1,5,2,3,0,0,
1022,2021-03-06 15:09:05 UTC,M,2a10,Autre,1,ML,R,0,3,4,5,3,4,5,4,5,4,4,1,3,2,2,4,3,3,0,0,"Chat sibérien, non habitué à sortir"
1023,2021-03-06 15:22:04 UTC,M,2a10,BRI,1,MI,PU,0,2,3,5,2,5,4,4,4,4,3,1,3,1,3,4,2,3,0,0,
1024,2021-03-06 16:08:59 UTC,F,2a10,BRI,1,ASB,U,2,3,3,2,3,5,3,3,4,2,1,1,3,3,2,3,2,3,0,0,Le sommeil! Elle dort au moins 20 heures par jour...
1025,2021-03-06 16:09:48 UTC,F,2a10,EUR,1,MI,PU,0,2,5,5,3,5,3,3,5,2,4,1,1,3,3,3,5,3,0,0,"Cela fait 6 semaines que je l’ai adoptée, elle sortait d’e chez une humaine qui e-navigation + de 20 et elle ne s’en occupait pas plus d’elle même. C’est la SPA qui  est venue les mettre en sécurité. Donc c’est la raison pour laquelle je ne peux répondre à certaines questions."
